accession,Enterobacteria phage T7,Enterobacteria phage PR772,human,bacteria,virus,parasite,fungus,unclassified
IDBD-D101745,155221.39633347368,3319.0759314857733,8342919.370260922,382571.21159059874,32919.25221435682,132942.07455034097,5534.416476152626,944573.2026426691
IDBD-D101746,8560.615903831636,2.7411514261388525,9497475.67365167,72454.11449570215,1984.593632524529,97431.48629067937,833.3100335462111,321257.4648406212
IDBD-D101747,835.5732297069071,27.622255527501064,7777227.89028348,771625.4063061149,649.123004896275,305329.5070371149,1378.8109217477613,1142926.0669614114
IDBD-D101748,13516.388111685264,134.34964086916077,8821336.351450518,520733.1012070094,3334.3138142982625,51573.97728880389,11250.764622482598,578120.7538643334
IDBD-D101744,1.8279687629385915,0.0,8516256.034810375,24630.051111834582,6973.700830610726,246258.46783679823,1129.6846954960495,1204750.2327461226
IDBD-D101750,22040.13116942752,3824.444354592179,3726507.674513774,1610956.4021069726,5797.188041876764,29946.558218988455,36238.21987438825,4564689.38171998
IDBD-D101751,24800.363599436012,41601.957296906556,48927.201534803135,9100013.078928594,4623.309887852756,2067.5671548161395,368817.95462786534,409148.5669697271
controlNeg,5501.352970316026,225.60753506027868,123071.80277967766,3724919.239251392,1399.9236790919856,8524.879594029846,7772.854477162251,6128584.33971327
controlPos,47081.31850802554,1141.9420355660566,762895.4484093699,5968247.893864645,27260.46746212899,12843.449263107523,17560.757433838735,3162968.7230233187
