reporting_name	query_name	uti	total_mr_pub_count	
Mesorhizobium qingshengii	Mesorhizobium qingshengii	0	0	
Rosellinia necatrix partitivirus 3	Rosellinia necatrix partitivirus 3	0	0	
Streptococcus phage IPP28	Streptococcus phage IPP28	0	0	
Litoreibacter ascidiaceicola	Litoreibacter ascidiaceicola	0	0	
Propionibacterium virus SKKY	Propionibacterium virus SKKY	0	0	
Sinorhizobium phage PBC5	Sinorhizobium phage PBC5	0	0	
Cellulomonas oligotrophica	Cellulomonas oligotrophica	0	0	
Placidium lachneum	Placidium lachneum	0	0	
Beet western yellows virus	Beet western yellows virus	0	0	
Streptomyces hoynatensis	Streptomyces hoynatensis	0	0	
Flavobacterium tegetincola	Flavobacterium tegetincola	0	0	
Mycobacterium phage Phasih	Mycobacterium phage Phasih	0	0	
Sida yellow vein virus satellite DNA beta	Sida yellow vein virus satellite DNA beta	0	0	
Bacillus phage PBC2	Bacillus phage PBC2	0	0	
Blastomonas fulva	Blastomonas fulva	0	0	
Actinoallomurus iriomotensis	Actinoallomurus iriomotensis	0	0	
Alicyclobacillus fodiniaquatilis	Alicyclobacillus fodiniaquatilis	0	0	
Candidatus Babela massiliensis	Candidatus Babela massiliensis	0	0	
Hubei blood fluke virus 3	Hubei blood fluke virus 3	0	0	
Meiothermus roseus	Meiothermus roseus	0	0	
Mycobacterium phage Kailash	Mycobacterium phage Kailash	0	0	
Lysinibacillus xyleni	Lysinibacillus xyleni	0	0	
Ruania albidiflava	Ruania albidiflava	0	0	
Boseongicola aestuarii	Boseongicola aestuarii	0	0	
California encephalitis virus	California encephalitis virus	0	0	
Enterobacteria phage Phi75	Enterobacteria phage Phi75	0	0	
Parafrigoribacterium mesophilum	Parafrigoribacterium mesophilum	0	0	
Pochonia chlamydosporia	Pochonia chlamydosporia	0	0	
Propionibacterium phage Supernova	Propionibacterium phage Supernova	0	0	
Reptilian ferlavirus	Reptilian ferlavirus	0	0	
Corynebacterium caspium	Corynebacterium caspium	0	0	
Saturnispora hagleri	Saturnispora hagleri	0	0	
Streptomyces roseorubens	Streptomyces roseorubens	0	0	
Undibacterium aquatile	Undibacterium aquatile	0	0	
Vogesella lacus	Vogesella lacus	0	0	
Candida pini (Ogataea pini)	(Candida pini) OR (Ogataea pini)	0	0	
Mycobacterium phage ImtiyazSitla	Mycobacterium phage ImtiyazSitla	0	0	
Pistricoccus aurantiacus	Pistricoccus aurantiacus	0	0	
Beihai weivirus-like virus 19	Beihai weivirus-like virus 19	0	0	
Arenimonas taoyuanensis	Arenimonas taoyuanensis	0	0	
Pontibacillus salicampi	Pontibacillus salicampi	0	0	
Beauveria felina	Beauveria felina	0	0	
Mycobacterium virus Jeffabunny	Mycobacterium virus Jeffabunny	0	0	
Actinidia virus A	Actinidia virus A	0	0	
Ambrosiozyma cicatricosa	Ambrosiozyma cicatricosa	0	0	
Escherichia virus ECML4	Escherichia virus ECML4	0	0	
Heliorestis baculata	Heliorestis baculata	0	0	
Klebsiella phage Miro	Klebsiella phage Miro	0	0	
Lactobacillus amylophilus	Lactobacillus amylophilus	0	0	
Gramella marina	Gramella marina	0	0	
Hubei picorna-like virus 28	Hubei picorna-like virus 28	0	0	
Gordonia phage Bantam	Gordonia phage Bantam	0	0	
Klebsiella quasipneumoniae	Klebsiella quasipneumoniae	1	1	
Nocardia endophytica	Nocardia endophytica	0	0	
Macrococcus brunensis	Macrococcus brunensis	0	0	
Spiroplasma phage SVGII3	Spiroplasma phage SVGII3	0	0	
Alkalibacillus flavidus	Alkalibacillus flavidus	0	0	
Defluviimonas aestuarii	Defluviimonas aestuarii	0	0	
Pandora dipterigena	Pandora dipterigena	0	0	
Soil-borne barley mosaic virus	Soil-borne barley mosaic virus	0	0	
Stephanospora caroticolor	Stephanospora caroticolor	0	0	
Streptomyces blastmyceticus	Streptomyces blastmyceticus	0	0	
Xenobotrytis acaducospora	Xenobotrytis acaducospora	0	0	
uncultured phage MedDCM-OCT-S09-C7	uncultured phage MedDCM-OCT-S09-C7	0	0	
Asaia prunellae	Asaia prunellae	0	0	
Desulfallas arcticus	Desulfallas arcticus	0	0	
Kaistia geumhonensis	Kaistia geumhonensis	0	0	
Mycoplasma microti	Mycoplasma microti	0	0	
Mycobacterium phage Todacoro	Mycobacterium phage Todacoro	0	0	
Mediterranean phage uvDeep-CGR0-KM22-C158	Mediterranean phage uvDeep-CGR0-KM22-C158	0	0	
Schistosoma indicum	Schistosoma indicum	0	0	
Talaromyces verruculosus	Talaromyces verruculosus	0	0	
Acidovorax anthurii	Acidovorax anthurii	0	0	
Amphritea spongicola	Amphritea spongicola	0	0	
Colletotrichum incanum	Colletotrichum incanum	0	0	
Dubosiella newyorkensis	Dubosiella newyorkensis	0	0	
Lactobacillus satsumensis	Lactobacillus satsumensis	0	0	
Hirschia baltica	Hirschia baltica	0	0	
Mycobacterium phage ShedlockHolmes	Mycobacterium phage ShedlockHolmes	0	0	
