reporting_name	query_name	uti	total_mr_pub_count	
Staphylococcus phage phiN315	Staphylococcus phage phiN315	0	0	
Novosphingobium aquaticum	Novosphingobium aquaticum	0	0	
Corynebacterium ureicelerivorans	Corynebacterium ureicelerivorans	0	0	
Kondoa yuccicola	Kondoa yuccicola	0	0	
Streptococcus phage IPP34	Streptococcus phage IPP34	0	0	
Veillonella criceti	Veillonella criceti	0	0	
Actinoplanes garbadinensis	Actinoplanes garbadinensis	0	0	
Bovine betacoronavirus	Bovine betacoronavirus	0	0	
Cytophaga aurantiaca	Cytophaga aurantiaca	0	0	
Campylobacter phage A132	Campylobacter phage A132	0	0	
Beihai picorna-like virus 69	Beihai picorna-like virus 69	0	0	
Murmansk poxvirus	Murmansk poxvirus	0	0	
Paenibacillus phage Tadhana	Paenibacillus phage Tadhana	0	0	
Euphorbia caput-medusae latent virus	Euphorbia caput-medusae latent virus	0	0	
Mycoplasma gypis	Mycoplasma gypis	0	0	
Lysinibacillus meyeri	Lysinibacillus meyeri	0	0	
Amycolatopsis echigonensis	Amycolatopsis echigonensis	0	0	
Enterobacteria phage vB_EcoM_VR5	Enterobacteria phage vB_EcoM_VR5	0	0	
Faecalibacterium phage FP_oengus	Faecalibacterium phage FP_oengus	0	0	
Hubei narna-like virus 8	Hubei narna-like virus 8	0	0	
Sporomusa sphaeroides	Sporomusa sphaeroides	0	0	
Chryseobacterium shandongense	Chryseobacterium shandongense	0	0	
Shewanella kaireitica	Shewanella kaireitica	0	0	
Streptococcus phage SpGS-1	Streptococcus phage SpGS-1	0	0	
Beihai narna-like virus 17	Beihai narna-like virus 17	0	0	
Christensenella minuta	Christensenella minuta	0	0	
Citrobacter werkmanii	Citrobacter werkmanii	0	0	
Leucobacter kyeonggiensis	Leucobacter kyeonggiensis	0	0	
Peptoclostridium phage phiCDIF1296T	Peptoclostridium phage phiCDIF1296T	0	0	
Perigonia lusca single nucleopolyhedrovirus	Perigonia lusca single nucleopolyhedrovirus	0	0	
Propionispora vibrioides	Propionispora vibrioides	0	0	
Brucella phage 1066_19	Brucella phage 1066_19	0	0	
Hubei partiti-like virus 21	Hubei partiti-like virus 21	0	0	
Saccharomonospora xinjiangensis	Saccharomonospora xinjiangensis	0	0	
Silicibacter phage DSS3-P1	Silicibacter phage DSS3-P1	0	0	
Rinodinella controversa	Rinodinella controversa	0	0	
Corynebacterium minutissimum	Corynebacterium minutissimum	5	5	
Actinoplanes sarveparensis	Actinoplanes sarveparensis	0	0	
Enterobacteria phage KU1	Enterobacteria phage KU1	0	0	
Enterovibrio calviensis	Enterovibrio calviensis	0	0	
Gluconacetobacter sacchari	Gluconacetobacter sacchari	0	0	
Cercopithecine alphaherpesvirus 2	Cercopithecine alphaherpesvirus 2	0	0	
Beihai picorna-like virus 9	Beihai picorna-like virus 9	0	0	
Gamboa orthobunyavirus	Gamboa orthobunyavirus	0	0	
Moorella thermoautotrophica	Moorella thermoautotrophica	0	0	
Oliveros mammarenavirus	Oliveros mammarenavirus	0	0	
Sanxia Water Strider Virus 1	Sanxia Water Strider Virus 1	0	0	
Sclerotinia sclerotiorum mitovirus 8	Sclerotinia sclerotiorum mitovirus 8	0	0	
Tetracladium setigerum	Tetracladium setigerum	0	0	
Tombusvirus	Tombusvirus	0	0	
Enterobacteria phage G4 clade	Enterobacteria phage G4 clade	0	0	
Hubei bunya-like virus 12	Hubei bunya-like virus 12	0	0	
Belmont virus	Belmont virus	0	0	
Aestuariimicrobium kwangyangense	Aestuariimicrobium kwangyangense	0	0	
Arthrobacter phage Courtney3	Arthrobacter phage Courtney3	0	0	
Deferribacter desulfuricans	Deferribacter desulfuricans	0	0	
Fusarium graminearum dsRNA mycovirus-4	Fusarium graminearum dsRNA mycovirus-4	0	0	
Massilia aerilata	Massilia aerilata	0	0	
Streptococcus henryi	Streptococcus henryi	0	0	
Wenzhou tombus-like virus 13	Wenzhou tombus-like virus 13	0	0	
Bos taurus papillomavirus 19	Bos taurus papillomavirus 19	0	0	
Bacillus phage Leo2	Bacillus phage Leo2	0	0	
Bermuda grass latent virus	Bermuda grass latent virus	0	0	
Cloacibacterium rupense	Cloacibacterium rupense	0	0	
Planotetraspora silvatica	Planotetraspora silvatica	0	0	
Propionibacterium phage pa59	Propionibacterium phage pa59	0	0	
Wuhan insect virus 25	Wuhan insect virus 25	0	0	
Ssp2virus	Ssp2virus	0	0	
Escherichia virus JMPW2	Escherichia virus JMPW2	0	0	
Saccharomycopsis lassenensis	Saccharomycopsis lassenensis	0	0	
Eremothecium coryli	Eremothecium coryli	0	0	
Mudcatvirus	Mudcatvirus	0	0	
Hubei narna-like virus 21	Hubei narna-like virus 21	0	0	
Acinetobacter phage ZZ1	Acinetobacter phage ZZ1	0	0	
Coniophora marmorata	Coniophora marmorata	0	0	
Eriocheir sinensis reovirus	Eriocheir sinensis reovirus	0	0	
Mal de Rio Cuarto virus	Mal de Rio Cuarto virus	0	0	
Phragmotaenium oryzicola	Phragmotaenium oryzicola	0	0	
Sinorhizobium medicae	Sinorhizobium medicae	0	0	
Microbacterium imperiale	Microbacterium imperiale	0	0	
Vibrio phage phiST4-ST	Vibrio phage phiST4-ST	0	0	
Rhizobium pseudoryzae	Rhizobium pseudoryzae	0	0	
Fusarium poae mitovirus 3	Fusarium poae mitovirus 3	0	0	
Letrouitia vulpina	Letrouitia vulpina	0	0	
Desulfosporosinus burensis	Desulfosporosinus burensis	0	0	
Lactococcus phage LP9404	Lactococcus phage LP9404	0	0	
Enterobacter phage E-3	Enterobacter phage E-3	0	0	
Bacillus gaemokensis	Bacillus gaemokensis	0	0	
Bifidobacterium callitrichos	Bifidobacterium callitrichos	0	0	
Helvella columnaris	Helvella columnaris	0	0	
Lactobacillus alimentarius	Lactobacillus alimentarius	0	0	
Flavobacterium phage Fpv1	Flavobacterium phage Fpv1	0	0	
Saccharothrix variisporea	Saccharothrix variisporea	0	0	
Erwinia phage vB_EamP-L1	Erwinia phage vB_EamP-L1	0	0	
Papaya leaf distortion mosaic virus	Papaya leaf distortion mosaic virus	0	0	
Adoxophyes honmai entomopoxvirus	Adoxophyes honmai entomopoxvirus	0	0	
Lutibacter maritimus	Lutibacter maritimus	0	0	
Mycoplasma insons	Mycoplasma insons	0	0	
Paenibacillus oenotherae	Paenibacillus oenotherae	0	0	
Saccharomonospora thermoviridis	Saccharomonospora thermoviridis	0	0	
Staphylococcus phage phiNM3	Staphylococcus phage phiNM3	0	0	
Amblyomma maculatum	Amblyomma maculatum	3	3	
Borreliella turdi	Borreliella turdi	0	0	
Helvella terrestris	Helvella terrestris	0	0	
Rotavirus G14	Rotavirus G14	0	0	
Saccharomyces paradoxus L-A virus M28-like satellite	Saccharomyces paradoxus L-A virus M28-like satellite	0	0	
Thermobaculum terrenum	Thermobaculum terrenum	0	0	
Weissella fabalis	Weissella fabalis	0	0	
Sugar beet cyst nematode virus 1	Sugar beet cyst nematode virus 1	0	0	
Hepatitis B virus	Hepatitis B virus	58	58	
Cyclobacterium xiamenense	Cyclobacterium xiamenense	0	0	
Kineosphaera limosa	Kineosphaera limosa	0	0	
Mannheimia phage vB_MhS_1152AP2	Mannheimia phage vB_MhS_1152AP2	0	0	
Merremia mosaic virus	Merremia mosaic virus	0	0	
Phyllobacterium myrsinacearum	Phyllobacterium myrsinacearum	0	0	
Staphylococcus phage phiSa2wa_st72	Staphylococcus phage phiSa2wa_st72	0	0	
Synechococcus cyanophage S-SM1	Synechococcus cyanophage S-SM1	0	0	
Vaccinia virus	Vaccinia virus	5	5	
Betaentomopoxvirus	Betaentomopoxvirus	0	0	
Alishewanella solinquinati	Alishewanella solinquinati	0	0	
Nocardia harenae	Nocardia harenae	0	0	
Osmoporus protractus	Osmoporus protractus	0	0	
Trichophaea woolhopeia	Trichophaea woolhopeia	0	0	
Nocardia wallacei	Nocardia wallacei	0	0	
Kocuria carniphila	Kocuria carniphila	0	0	
Aquisphaera giovannonii	Aquisphaera giovannonii	0	0	
Caldicellulosiruptor owensensis	Caldicellulosiruptor owensensis	0	0	
Lettuce yellow mottle cytorhabdovirus	Lettuce yellow mottle cytorhabdovirus	0	0	
Plumeria mosaic virus	Plumeria mosaic virus	0	0	
Pseudomonas saponiphila	Pseudomonas saponiphila	0	0	
Staphylococcus virus 108PVL	Staphylococcus virus 108PVL	0	0	
Stx converting phage vB_EcoS_ST2-8624	Stx converting phage vB_EcoS_ST2-8624	0	0	
Mycoplasma corogypsi	Mycoplasma corogypsi	1	1	
Lactobacillus paraplantarum	Lactobacillus paraplantarum	0	0	
Aggregatibacter segnis	Aggregatibacter segnis	0	0	
Rathayibacter tritici	Rathayibacter tritici	0	0	
Lachnospira multipara	Lachnospira multipara	0	0	
Bacillus phage 12826	Bacillus phage 12826	0	0	
Cacao Bacilliform SriLanka Virus	Cacao Bacilliform SriLanka Virus	0	0	
Caulobacter mirabilis	Caulobacter mirabilis	0	0	
Georgenia ferrireducens	Georgenia ferrireducens	0	0	
Micromonospora nickelidurans	Micromonospora nickelidurans	0	0	
Tubaria vinicolor	Tubaria vinicolor	0	0	
Vibrio phage 1.185.O._10N.286.49.C2	Vibrio phage 1.185.O._10N.286.49.C2	0	0	
uncultured phage MedDCM-OCT-S08-C41	uncultured phage MedDCM-OCT-S08-C41	0	0	
Camp Ripley virus	Camp Ripley virus	0	0	
Epicoleosporium ramularioides	Epicoleosporium ramularioides	0	0	
Stachytarpheta leaf curl virus	Stachytarpheta leaf curl virus	0	0	
Ureibacillus composti	Ureibacillus composti	0	0	
Vibrio phage pYD38-B	Vibrio phage pYD38-B	0	0	
Bartonella apis	Bartonella apis	0	0	
Clostridium phage phiCP13O	Clostridium phage phiCP13O	0	0	
Sphingobium vermicomposti	Sphingobium vermicomposti	0	0	
Gelria glutamica	Gelria glutamica	0	0	
Salicola phage CGphi29	Salicola phage CGphi29	0	0	
Agrobacterium phage Atu_ph08	Agrobacterium phage Atu_ph08	0	0	
Endosporium populi-tremuloides	Endosporium populi-tremuloides	0	0	
Roseobacter phage RDJL Phi 1	Roseobacter phage RDJL Phi 1	0	0	
Streptomyces scabrisporus	Streptomyces scabrisporus	0	0	
Sugarcane streak Egypt virus	Sugarcane streak Egypt virus	0	0	
Bos taurus papillomavirus 7	Bos taurus papillomavirus 7	0	0	
G4microvirus	G4microvirus	0	0	
Flavobacterium phage Fpv7	Flavobacterium phage Fpv7	0	0	
Neoascochyta exitialis	Neoascochyta exitialis	0	0	
Acidomonas methanolica	Acidomonas methanolica	0	0	
Gregorella humida	Gregorella humida	0	0	
Kordia zhangzhouensis	Kordia zhangzhouensis	0	0	
Murid betaherpesvirus 1	Murid betaherpesvirus 1	0	0	
Rhytidhysteron rufulum	Rhytidhysteron rufulum	0	0	
Pseudomonas virus D3	Pseudomonas virus D3	0	0	
Sphingomonas jatrophae	Sphingomonas jatrophae	0	0	
Tomato necrotic spot tospovirus	Tomato necrotic spot tospovirus	0	0	
Canine papillomavirus 9	Canine papillomavirus 9	0	0	
Flavobacterium flevense	Flavobacterium flevense	0	0	
Haloferula chungangensis	Haloferula chungangensis	0	0	
Thioalkalivibrio thiocyanoxidans	Thioalkalivibrio thiocyanoxidans	0	0	
Trypanosoma cyclops	Trypanosoma cyclops	0	0	
Aedes pseudoscutellaris reovirus	Aedes pseudoscutellaris reovirus	0	0	
Eubacterium tenue (Paeniclostridium tenue)	(Eubacterium tenue) OR (Paeniclostridium tenue)	0	0	
Sistotrema brinkmannii	Sistotrema brinkmannii	0	0	
Beihai sobemo-like virus 10	Beihai sobemo-like virus 10	0	0	
Citrus yellow vein-associated virus	Citrus yellow vein-associated virus	0	0	
Grange virus	Grange virus	0	0	
Craterocolla cerasi	Craterocolla cerasi	0	0	
Lactobacillus zeae	Lactobacillus zeae	0	0	
Lactobacillus hordei	Lactobacillus hordei	0	0	
Helicobacter phage Pt1918U	Helicobacter phage Pt1918U	0	0	
Lavidaviridae	Lavidaviridae	0	0	
Guppy nervous necrosis virus	Guppy nervous necrosis virus	0	0	
Nyando orthobunyavirus	Nyando orthobunyavirus	0	0	
Moniliella madida	Moniliella madida	0	0	
Buttiauxella warmboldiae	Buttiauxella warmboldiae	0	0	
Enterobacteria phage 9g	Enterobacteria phage 9g	0	0	
Mycolicibacterium hippocampi	Mycolicibacterium hippocampi	0	0	
Streptomyces tanashiensis	Streptomyces tanashiensis	0	0	
Corynelia uberata	Corynelia uberata	0	0	
Hubei partiti-like virus 38	Hubei partiti-like virus 38	0	0	
Marinobacter salicampi	Marinobacter salicampi	0	0	
Amylocystis lapponica	Amylocystis lapponica	0	0	
Bradyrhizobium canariense	Bradyrhizobium canariense	0	0	
Ctenophore-associated circular genome 2	Ctenophore-associated circular genome 2	0	0	
Hubei narna-like virus 18	Hubei narna-like virus 18	0	0	
Myotis ricketti papillomavirus 1	Myotis ricketti papillomavirus 1	0	0	
Clostridium phage CpV1	Clostridium phage CpV1	0	0	
Flexivirga lutea	Flexivirga lutea	0	0	
Paraburkholderia megapolitana	Paraburkholderia megapolitana	0	0	
Synergistes jonesii	Synergistes jonesii	0	0	
Atopobium fossor	Atopobium fossor	0	0	
Drosophila melanogaster totivirus SW-2009a	Drosophila melanogaster totivirus SW-2009a	0	0	
Endocarpon pallidulum	Endocarpon pallidulum	0	0	
Enzootic nasal tumour virus of goats	Enzootic nasal tumour virus of goats	0	0	
Bacillus pseudoflexus	Bacillus pseudoflexus	0	0	
Legionella rowbothamii	Legionella rowbothamii	0	0	
Racocetra fulgida	Racocetra fulgida	0	0	
Escherichia virus JES2013	Escherichia virus JES2013	0	0	
Hubei picorna-like virus 6	Hubei picorna-like virus 6	0	0	
Valsa ceratosperma hypovirus 1	Valsa ceratosperma hypovirus 1	0	0	
Hubei tombus-like virus 14	Hubei tombus-like virus 14	0	0	
Halocyphina villosa	Halocyphina villosa	0	0	
Ariquemes virus	Ariquemes virus	0	0	
Burkholderia metallica	Burkholderia metallica	0	0	
Gou virus	Gou virus	0	0	
Hymenobacter norwichensis	Hymenobacter norwichensis	0	0	
Limnohabitans parvus	Limnohabitans parvus	0	0	
Paenibacillus glycanilyticus	Paenibacillus glycanilyticus	0	0	
Parrot bornavirus 5	Parrot bornavirus 5	0	0	
Pontibacter litorisediminis	Pontibacter litorisediminis	0	0	
Brevibacillus phage Sundance	Brevibacillus phage Sundance	0	0	
Elsinoe phaseoli	Elsinoe phaseoli	0	0	
Bifidobacterium magnum	Bifidobacterium magnum	0	0	
Ceratitis capitata sigmavirus	Ceratitis capitata sigmavirus	0	0	
Hesseltinella vesiculosa	Hesseltinella vesiculosa	0	0	
Indivirus	Indivirus	0	0	
Trichomonas brixi	Trichomonas brixi	0	0	
Wuhan pillworm virus 2	Wuhan pillworm virus 2	0	0	
Thiothrix unzii	Thiothrix unzii	0	0	
Enterobacteria phage mEp237	Enterobacteria phage mEp237	0	0	
Nocardioides furvisabuli	Nocardioides furvisabuli	0	0	
Vibrio phage QH	Vibrio phage QH	0	0	
Human respiratory syncytial virus A	Human respiratory syncytial virus A	0	0	
Beihai rhabdo-like virus 6	Beihai rhabdo-like virus 6	0	0	
Lily symptomless virus	Lily symptomless virus	0	0	
Massilia eurypsychrophila	Massilia eurypsychrophila	0	0	
Mycobacterium phage Pleione	Mycobacterium phage Pleione	0	0	
Pediococcus claussenii	Pediococcus claussenii	0	0	
Saccharopolyspora halophila	Saccharopolyspora halophila	0	0	
Sandaracinobacter sibiricus	Sandaracinobacter sibiricus	0	0	
Staphylococcus phage phi-42	Staphylococcus phage phi-42	0	0	
Sweet potato virus 2	Sweet potato virus 2	0	0	
Xenorhabdus thuongxuanensis	Xenorhabdus thuongxuanensis	0	0	
Crotalaria juncea begomovirus	Crotalaria juncea begomovirus	0	0	
Mycobacterium phage BlackStallion	Mycobacterium phage BlackStallion	0	0	
Auricularia subglabra	Auricularia subglabra	0	0	
Double-stranded RNA satellites	Double-stranded RNA satellites	0	0	
Methylococcus mobilis	Methylococcus mobilis	0	0	
Mycolicibacter virginiensis	Mycolicibacter virginiensis	0	0	
P2virus	P2virus	0	0	
Pilobolus sphaerosporus	Pilobolus sphaerosporus	0	0	
Saccharospirillum impatiens	Saccharospirillum impatiens	0	0	
Tetragenococcus osmophilus	Tetragenococcus osmophilus	0	0	
Cyanophage NATL2A-133	Cyanophage NATL2A-133	0	0	
Enterobacteria phage M	Enterobacteria phage M	0	0	
Saccharomyces cerevisiae virus	Saccharomyces cerevisiae virus	0	0	
Yersinia phage PST	Yersinia phage PST	0	0	
Aquabacterium olei	Aquabacterium olei	0	0	
Campylobacter gracilis	Campylobacter gracilis	0	0	
Cycas necrotic stunt virus	Cycas necrotic stunt virus	0	0	
Nocardioides nanhaiensis	Nocardioides nanhaiensis	0	0	
Rhizochaete brunnea	Rhizochaete brunnea	0	0	
Thermolongibacillus altinsuensis	Thermolongibacillus altinsuensis	0	0	
Catellatospora chokoriensis	Catellatospora chokoriensis	0	0	
Halalkalibacillus halophilus	Halalkalibacillus halophilus	0	0	
Nonomuraea turkmeniaca	Nonomuraea turkmeniaca	0	0	
Bacteriophage APSE-4	Bacteriophage APSE-4	0	0	
Azospirillum palatum	Azospirillum palatum	0	0	
Cryptovalsa ampelina	Cryptovalsa ampelina	0	0	
Escherichia phage slur16	Escherichia phage slur16	0	0	
Indian cassava mosaic virus	Indian cassava mosaic virus	0	0	
Maribacter thermophilus	Maribacter thermophilus	0	0	
Pajaroellobacter abortibovis	Pajaroellobacter abortibovis	0	0	
Streptomyces arenae	Streptomyces arenae	0	0	
Bat associated circovirus 4	Bat associated circovirus 4	0	0	
Lumpy skin disease virus	Lumpy skin disease virus	0	0	
Propionibacterium phage PHL114N00	Propionibacterium phage PHL114N00	0	0	
Shewanella marina	Shewanella marina	0	0	
uncultured phage	uncultured phage	0	0	
Dacrymyces chrysocomus	Dacrymyces chrysocomus	0	0	
uncultured phage MedDCM-OCT-S04-C26	uncultured phage MedDCM-OCT-S04-C26	0	0	
Hubei qinvirus-like virus 2	Hubei qinvirus-like virus 2	0	0	
Los Azufres archaeal virus 2	Los Azufres archaeal virus 2	0	0	
Turbot reddish body iridovirus	Turbot reddish body iridovirus	0	0	
Emticicia fontis	Emticicia fontis	0	0	
Peach mosaic virus	Peach mosaic virus	0	0	
Trichobilharzia szidati	Trichobilharzia szidati	0	0	
Abrothallus parmotrematis	Abrothallus parmotrematis	0	0	
Cardioderma cor polyomavirus 1	Cardioderma cor polyomavirus 1	0	0	
Desulfovibrio cavernae	Desulfovibrio cavernae	0	0	
Salipiger thiooxidans	Salipiger thiooxidans	0	0	
Skunk adenovirus PB1	Skunk adenovirus PB1	0	0	
Bacillus olivae	Bacillus olivae	0	0	
Stenotrophomonas pavanii	Stenotrophomonas pavanii	0	0	
Walleye dermal sarcoma virus	Walleye dermal sarcoma virus	0	0	
Leshenault partiti-like virus	Leshenault partiti-like virus	0	0	
Macaca fascicularis papillomavirus 5	Macaca fascicularis papillomavirus 5	0	0	
Salmo trutta trutta betanodavirus	Salmo trutta trutta betanodavirus	0	0	
Streptomyces filipinensis	Streptomyces filipinensis	0	0	
Nautilia profundicola	Nautilia profundicola	0	0	
Variovorax boronicumulans	Variovorax boronicumulans	0	0	
Cystobasidium calyptogenae	Cystobasidium calyptogenae	0	0	
Flavobacterium glaciei	Flavobacterium glaciei	0	0	
Grapevine associated partitivirus-1	Grapevine associated partitivirus-1	0	0	
Lactobacillus phage phig1e	Lactobacillus phage phig1e	0	0	
Actinomadura pelletieri	Actinomadura pelletieri	0	0	
Magnetospirillum moscoviense	Magnetospirillum moscoviense	0	0	
Nitrosomonas stercoris	Nitrosomonas stercoris	0	0	
Pseudoalteromonas xiamenensis	Pseudoalteromonas xiamenensis	0	0	
Taiassui virus	Taiassui virus	0	0	
Aphodius barbarus	Aphodius barbarus	0	0	
Circinella minor	Circinella minor	0	0	
Cutthroat trout virus	Cutthroat trout virus	0	0	
Equid gammaherpesvirus 5	Equid gammaherpesvirus 5	0	0	
Ophiocordyceps irangiensis	Ophiocordyceps irangiensis	0	0	
Sanxia tombus-like virus 1	Sanxia tombus-like virus 1	0	0	
Streptomyces spiroverticillatus	Streptomyces spiroverticillatus	0	0	
Clostridium phage HM T	Clostridium phage HM T	0	0	
Datura yellow vein nucleorhabdovirus	Datura yellow vein nucleorhabdovirus	0	0	
Janibacter terrae	Janibacter terrae	0	0	
Aquareovirus B	Aquareovirus B	0	0	
Fulvivirga imtechensis	Fulvivirga imtechensis	0	0	
Gluconacetobacter diazotrophicus	Gluconacetobacter diazotrophicus	0	0	
Grapevine virus H	Grapevine virus H	0	0	
Lactococcus phage ASCC284	Lactococcus phage ASCC284	0	0	
Lactococcus phage LP9206c	Lactococcus phage LP9206c	0	0	
Maribacter lutimaris	Maribacter lutimaris	0	0	
Botrytis porri botybirnavirus 1	Botrytis porri botybirnavirus 1	0	0	
Paenibacillus phage Shelly	Paenibacillus phage Shelly	0	0	
Sphingobacterium daejeonense	Sphingobacterium daejeonense	0	0	
Wuhan spider virus 6	Wuhan spider virus 6	0	0	
Zea mosaic virus	Zea mosaic virus	0	0	
Sinorhizobium phage phiM7	Sinorhizobium phage phiM7	0	0	
Xylobolus frustulatus	Xylobolus frustulatus	0	0	
Microcystis panniformis	Microcystis panniformis	0	0	
Nocardia cyriacigeorgica	Nocardia cyriacigeorgica	0	0	
Macroptilium mosaic virus	Macroptilium mosaic virus	0	0	
Microbacterium flavum	Microbacterium flavum	0	0	
Premna leaf curl virus	Premna leaf curl virus	0	0	
Staphylococcus phage CNPx	Staphylococcus phage CNPx	0	0	
Tree shrew mastadenovirus A	Tree shrew mastadenovirus A	0	0	
Vibrio ponticus	Vibrio ponticus	0	0	
Propionibacterium phage Procrass1	Propionibacterium phage Procrass1	0	0	
Smittium cylindrosporum	Smittium cylindrosporum	0	0	
Cardiovirus C	Cardiovirus C	0	0	
Epibacterium scottomollicae	Epibacterium scottomollicae	0	0	
Porphyromonas gulae	Porphyromonas gulae	0	0	
Devosia humi	Devosia humi	0	0	
Pseudomonas poae	Pseudomonas poae	0	0	
Sphaerophorus globosus	Sphaerophorus globosus	0	0	
Saccharomycopsis fodiens	Saccharomycopsis fodiens	0	0	
Campylobacter phage A14a	Campylobacter phage A14a	0	0	
Chromohalobacter marismortui	Chromohalobacter marismortui	0	0	
Flanders hapavirus	Flanders hapavirus	0	0	
Flaviaesturariibacter terrae	Flaviaesturariibacter terrae	0	0	
Zeaxanthinibacter aestuarii	Zeaxanthinibacter aestuarii	0	0	
Archaeospora schenckii	Archaeospora schenckii	0	0	
Daphne virus S	Daphne virus S	0	0	
Eubacterium ruminantium	Eubacterium ruminantium	0	0	
Streptomyces lasiicapitis	Streptomyces lasiicapitis	0	0	
Fonsecaea pedrosoi	Fonsecaea pedrosoi	0	0	
Human picobirnavirus	Human picobirnavirus	0	0	
Human rotavirus C	Human rotavirus C	0	0	
Arenibacter certesii	Arenibacter certesii	0	0	
Mycobacterium phage Phlei	Mycobacterium phage Phlei	0	0	
Shayang noda-like virus 1	Shayang noda-like virus 1	0	0	
Rhizoctonia solani partitivirus 1	Rhizoctonia solani partitivirus 1	0	0	
Actinoplanes tereljensis	Actinoplanes tereljensis	0	0	
Faustovirus ST1	Faustovirus ST1	0	0	
Gammapapillomavirus	Gammapapillomavirus	0	0	
Peziza polaripapulata	Peziza polaripapulata	0	0	
Rhizobium alamii	Rhizobium alamii	0	0	
Tula orthohantavirus	Tula orthohantavirus	0	0	
Mycobacterium phage VohminGhazi	Mycobacterium phage VohminGhazi	0	0	
Ceratobasidium partitivirus CP-e	Ceratobasidium partitivirus CP-e	0	0	
Flavobacterium luticocti	Flavobacterium luticocti	0	0	
Human papillomavirus 216	Human papillomavirus 216	0	0	
Nyamanini nyavirus	Nyamanini nyavirus	0	0	
Phasmaviridae	Phasmaviridae	0	0	
Phialemonium obovatum	Phialemonium obovatum	0	0	
Rattus norvegicus papillomavirus 3	Rattus norvegicus papillomavirus 3	0	0	
Trichophaea gregaria	Trichophaea gregaria	0	0	
Ipomea begomovirus satellite 3	Ipomea begomovirus satellite 3	0	0	
Haloferula harenae	Haloferula harenae	0	0	
Odrenisrou virus	Odrenisrou virus	0	0	
Puniceibacterium antarcticum	Puniceibacterium antarcticum	0	0	
Streptoalloteichus tenebrarius	Streptoalloteichus tenebrarius	0	0	
Tepidimonas fonticaldi	Tepidimonas fonticaldi	0	0	
Thalassospira tepidiphila	Thalassospira tepidiphila	0	0	
Woolly monkey sarcoma virus	Woolly monkey sarcoma virus	0	0	
Barns Ness breadcrumb sponge hepe-like virus 1	Barns Ness breadcrumb sponge hepe-like virus 1	0	0	
Cnidoscolus mosaic leaf deformation virus	Cnidoscolus mosaic leaf deformation virus	0	0	
Cucurbitaria piceae virus 1	Cucurbitaria piceae virus 1	0	0	
Enterobacteria phage Nil3	Enterobacteria phage Nil3	0	0	
Desulfomonile limimaris	Desulfomonile limimaris	0	0	
Human papillomavirus 92	Human papillomavirus 92	0	0	
Mycoplasma collis	Mycoplasma collis	0	0	
Hubei odonate virus 9	Hubei odonate virus 9	0	0	
Lancisporomyces vernalis	Lancisporomyces vernalis	0	0	
Gramella portivictoriae	Gramella portivictoriae	0	0	
Sphingobacterium composti	Sphingobacterium composti	0	0	
White ash mosaic virus	White ash mosaic virus	0	0	
Hymenobacter fastidiosus	Hymenobacter fastidiosus	0	0	
Lolium latent virus	Lolium latent virus	0	0	
Mycobacterium phage Switzer	Mycobacterium phage Switzer	0	0	
Tomato leaf curl Laos betasatellite	Tomato leaf curl Laos betasatellite	0	0	
Wuhan arthropod virus 4	Wuhan arthropod virus 4	0	0	
Staphylococcus phage 812	Staphylococcus phage 812	0	0	
Exserohilum rostratum	Exserohilum rostratum	0	0	
Hydrogenobaculum phage 1	Hydrogenobaculum phage 1	0	0	
Mycobacterium phage TallGrassMM	Mycobacterium phage TallGrassMM	0	0	
Streptomyces cattleya	Streptomyces cattleya	0	0	
Bacillus phage vB_BsuM-Goe2	Bacillus phage vB_BsuM-Goe2	0	0	
Desulfallas alcoholivorax	Desulfallas alcoholivorax	0	0	
Desulfovibrio indonesiensis	Desulfovibrio indonesiensis	0	0	
Elderia arenivaga	Elderia arenivaga	0	0	
Flavoibacterium phage FCV-20	Flavoibacterium phage FCV-20	0	0	
Hubei partiti-like virus 31	Hubei partiti-like virus 31	0	0	
Beihai levi-like virus 2	Beihai levi-like virus 2	0	0	
Nocardiopsis ansamitocini	Nocardiopsis ansamitocini	0	0	
Actinomyces vulturis	Actinomyces vulturis	0	0	
Escherichia virus mutPK1A2	Escherichia virus mutPK1A2	0	0	
Infectious spleen and kidney necrosis virus	Infectious spleen and kidney necrosis virus	0	0	
Pseudomonas phage phi13	Pseudomonas phage phi13	0	0	
Paenalcaligenes hominis	Paenalcaligenes hominis	1	1	
Aquimarina spongiae	Aquimarina spongiae	0	0	
Betasphaerolipovirus	Betasphaerolipovirus	0	0	
Cymatoderma caperatum	Cymatoderma caperatum	0	0	
Solibacillus silvestris	Solibacillus silvestris	0	0	
Amblyomma dissimile	Amblyomma dissimile	0	0	
Arthrobacter phage Abidatro	Arthrobacter phage Abidatro	0	0	
Bacillus virus Bc431	Bacillus virus Bc431	0	0	
Desulfosporosinus hippei	Desulfosporosinus hippei	0	0	
Human pegivirus 2	Human pegivirus 2	0	0	
Hyunsoonleella rubra	Hyunsoonleella rubra	0	0	
Lettuce necrotic leaf curl virus	Lettuce necrotic leaf curl virus	0	0	
Saccharomyces kudriavzevii virus	Saccharomyces kudriavzevii virus	0	0	
Machlomovirus	Machlomovirus	0	0	
Paludibacterium yongneupense	Paludibacterium yongneupense	0	0	
Salmonella virus wksl3	Salmonella virus wksl3	0	0	
Ureibacillus defluvii	Ureibacillus defluvii	0	0	
