reporting_name	reporting_id	taxids	compound_id	class_type	subclass	nucleic_acid	RNA	DNA	seqids_in_rna_db	seqids_in_dna_db	semantic_group	core
Hubei narna-like virus 2	29294	1922950	29294_1922950	viral	viral	RNA	virus	.	1	0	.	.
Hubei narna-like virus 20	29295	1922951	29295_1922951	viral	viral	RNA	virus	.	1	0	.	.
Hubei narna-like virus 21	29296	1922952	29296_1922952	viral	viral	RNA	virus	.	1	0	.	.
Hubei narna-like virus 22	29297	1922953	29297_1922953	viral	viral	RNA	virus	.	1	0	.	.
Hubei narna-like virus 23	29298	1922954	29298_1922954	viral	viral	RNA	virus	.	1	0	.	.
Hubei narna-like virus 24	29299	1922955	29299_1922955	viral	viral	RNA	virus	.	1	0	.	.
Hubei narna-like virus 25	29300	1922956	29300_1922956	viral	viral	RNA	virus	.	1	0	.	.
Hubei narna-like virus 3	29301	1922957	29301_1922957	viral	viral	RNA	virus	.	2	0	.	.
Hubei narna-like virus 4	29302	1922958	29302_1922958	viral	viral	RNA	virus	.	1	0	.	.
Hubei narna-like virus 5	29303	1922959	29303_1922959	viral	viral	RNA	virus	.	1	0	.	.
Hubei narna-like virus 7	29304	1922960	29304_1922960	viral	viral	RNA	virus	.	1	0	.	.
Hubei narna-like virus 8	29305	1922961	29305_1922961	viral	viral	RNA	virus	.	1	0	.	.
Hubei narna-like virus 9	29306	1922962	29306_1922962	viral	viral	RNA	virus	.	1	0	.	.
Hubei negev-like virus 1	29307	1922963	29307_1922963	viral	viral	RNA	virus	.	1	0	.	.
Hubei negev-like virus 2	29308	1922964	29308_1922964	viral	viral	RNA	virus	.	1	0	.	.
Hubei noda-like virus 1	29309	1922965	29309_1922965	viral	viral	RNA	virus	.	1	0	.	.
Hubei noda-like virus 10	29310	1922966	29310_1922966	viral	viral	RNA	virus	.	1	0	.	.
Hubei noda-like virus 11	29311	1922967	29311_1922967	viral	viral	RNA	virus	.	1	0	.	.
Hubei noda-like virus 12	29312	1922968	29312_1922968	viral	viral	RNA	virus	.	1	0	.	.
Hubei noda-like virus 13	29313	1922969	29313_1922969	viral	viral	RNA	virus	.	2	0	.	.
Hubei noda-like virus 14	29314	1922970	29314_1922970	viral	viral	RNA	virus	.	1	0	.	.
Hubei noda-like virus 15	29315	1922971	29315_1922971	viral	viral	RNA	virus	.	1	0	.	.
Hubei noda-like virus 17	29316	1922972	29316_1922972	viral	viral	RNA	virus	.	1	0	.	.
Hubei noda-like virus 18	29317	1922973	29317_1922973	viral	viral	RNA	virus	.	1	0	.	.
Hubei noda-like virus 19	29318	1922974	29318_1922974	viral	viral	RNA	virus	.	1	0	.	.
Hubei noda-like virus 2	29319	1922975	29319_1922975	viral	viral	RNA	virus	.	1	0	.	.
Hubei noda-like virus 20	29320	1922976	29320_1922976	viral	viral	RNA	virus	.	1	0	.	.
Hubei noda-like virus 21	29321	1922977	29321_1922977	viral	viral	RNA	virus	.	1	0	.	.
Hubei noda-like virus 22	29322	1922978	29322_1922978	viral	viral	RNA	virus	.	1	0	.	.
Hubei noda-like virus 23	29323	1922979	29323_1922979	viral	viral	RNA	virus	.	1	0	.	.
Hubei noda-like virus 24	29324	1922980	29324_1922980	viral	viral	RNA	virus	.	1	0	.	.
Hubei noda-like virus 25	29325	1922981	29325_1922981	viral	viral	RNA	virus	.	1	0	.	.
Hubei noda-like virus 26	29326	1922982	29326_1922982	viral	viral	RNA	virus	.	1	0	.	.
Hubei noda-like virus 3	29327	1922983	29327_1922983	viral	viral	RNA	virus	.	1	0	.	.
Hubei noda-like virus 4	29328	1922984	29328_1922984	viral	viral	RNA	virus	.	1	0	.	.
Hubei noda-like virus 5	29329	1922985	29329_1922985	viral	viral	RNA	virus	.	1	0	.	.
Hubei noda-like virus 6	29330	1922986	29330_1922986	viral	viral	RNA	virus	.	1	0	.	.
Hubei noda-like virus 7	29331	1922987	29331_1922987	viral	viral	RNA	virus	.	1	0	.	.
Hubei noda-like virus 8	29332	1922988	29332_1922988	viral	viral	RNA	virus	.	1	0	.	.
Hubei noda-like virus 9	29333	1922989	29333_1922989	viral	viral	RNA	virus	.	1	0	.	.
Hubei odonate virus 1	29334	1922990	29334_1922990	viral	viral	RNA	virus	.	1	0	.	.
Hubei odonate virus 10	29335	1922991	29335_1922991	viral	viral	RNA	virus	.	1	0	.	.
Hubei odonate virus 11	29336	1922992	29336_1922992	viral	viral	RNA	virus	.	1	0	.	.
Hubei odonate virus 12	29337	1922993	29337_1922993	viral	viral	RNA	virus	.	2	0	.	.
Hubei odonate virus 13	29338	1922994	29338_1922994	viral	viral	RNA	virus	.	1	0	.	.
Hubei odonate virus 14	29339	1922995	29339_1922995	viral	viral	RNA	virus	.	3	0	.	.
Hubei odonate virus 15	29340	1922996	29340_1922996	viral	viral	RNA	virus	.	1	0	.	.
Hubei odonate virus 2	29341	1922997	29341_1922997	viral	viral	RNA	virus	.	1	0	.	.
Hubei odonate virus 3	29342	1922998	29342_1922998	viral	viral	RNA	virus	.	1	0	.	.
Hubei odonate virus 4	29343	1922999	29343_1922999	viral	viral	RNA	virus	.	1	0	.	.
Hubei odonate virus 5	29344	1923000	29344_1923000	viral	viral	RNA	virus	.	1	0	.	.
Hubei odonate virus 6	29345	1923001	29345_1923001	viral	viral	RNA	virus	.	1	0	.	.
Hubei odonate virus 7	29346	1923002	29346_1923002	viral	viral	RNA	virus	.	1	0	.	.
Hubei odonate virus 8	29347	1923003	29347_1923003	viral	viral	RNA	virus	.	1	0	.	.
Hubei odonate virus 9	29348	1923004	29348_1923004	viral	viral	RNA	virus	.	1	0	.	.
Hubei orthomyxo-like virus 1	29349	1923005	29349_1923005	viral	viral	RNA	virus	.	1	0	.	.
Hubei orthomyxo-like virus 2	29350	1923006	29350_1923006	viral	viral	RNA	virus	.	3	0	.	.
Hubei orthomyxo-like virus 4	29351	1923007	29351_1923007	viral	viral	RNA	virus	.	1	0	.	.
Hubei orthomyxo-like virus 5	29352	1923008	29352_1923008	viral	viral	RNA	virus	.	1	0	.	.
Hubei orthoptera virus 1	29353	1923009	29353_1923009	viral	viral	RNA	virus	.	1	0	.	.
Hubei orthoptera virus 2	29354	1923010	29354_1923010	viral	viral	RNA	virus	.	1	0	.	.
Hubei orthoptera virus 3	29355	1923011	29355_1923011	viral	viral	RNA	virus	.	1	0	.	.
Hubei orthoptera virus 4	29356	1923012	29356_1923012	viral	viral	RNA	virus	.	1	0	.	.
Hubei orthoptera virus 5	29357	1923013	29357_1923013	viral	viral	RNA	virus	.	1	0	.	.
Hubei orthoptera virus 6	29358	1923014	29358_1923014	viral	viral	RNA	virus	.	3	0	.	.
Hubei partiti-like virus 1	29359	1923015	29359_1923015	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 10	29360	1923016	29360_1923016	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 11	29361	1923017	29361_1923017	viral	viral	RNA	virus	.	2	0	.	.
Hubei partiti-like virus 12	29362	1923018	29362_1923018	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 13	29363	1923019	29363_1923019	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 14	29364	1923020	29364_1923020	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 15	29365	1923021	29365_1923021	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 16	29366	1923022	29366_1923022	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 17	29367	1923023	29367_1923023	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 18	29368	1923024	29368_1923024	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 19	29369	1923025	29369_1923025	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 2	29370	1923026	29370_1923026	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 20	29371	1923027	29371_1923027	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 21	29372	1923028	29372_1923028	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 22	29373	1923029	29373_1923029	viral	viral	RNA	virus	.	2	0	.	.
Hubei partiti-like virus 23	29374	1923030	29374_1923030	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 24	29375	1923031	29375_1923031	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 25	29376	1923032	29376_1923032	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 26	29377	1923033	29377_1923033	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 27	29378	1923034	29378_1923034	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 28	29379	1923035	29379_1923035	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 29	29380	1923036	29380_1923036	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 3	29381	1923037	29381_1923037	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 31	29382	1923038	29382_1923038	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 32	29383	1923039	29383_1923039	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 33	29384	1923040	29384_1923040	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 34	29385	1923041	29385_1923041	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 35	29386	1923042	29386_1923042	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 36	29387	1923043	29387_1923043	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 37	29388	1923044	29388_1923044	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 38	29389	1923045	29389_1923045	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 39	29390	1923046	29390_1923046	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 4	29391	1923047	29391_1923047	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 40	29392	1923048	29392_1923048	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 41	29393	1923049	29393_1923049	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 42	29394	1923050	29394_1923050	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 43	29395	1923051	29395_1923051	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 44	29396	1923052	29396_1923052	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 45	29397	1923053	29397_1923053	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 46	29398	1923054	29398_1923054	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 47	29399	1923055	29399_1923055	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 48	29400	1923056	29400_1923056	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 49	29401	1923057	29401_1923057	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 5	29402	1923058	29402_1923058	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 50	29403	1923059	29403_1923059	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 51	29404	1923060	29404_1923060	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 52	29405	1923061	29405_1923061	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 53	29406	1923062	29406_1923062	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 54	29407	1923063	29407_1923063	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 55	29408	1923064	29408_1923064	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 56	29409	1923065	29409_1923065	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 57	29410	1923066	29410_1923066	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 58	29411	1923067	29411_1923067	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 59	29412	1923068	29412_1923068	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 6	29413	1923069	29413_1923069	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 7	29414	1923070	29414_1923070	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 8	29415	1923071	29415_1923071	viral	viral	RNA	virus	.	1	0	.	.
Hubei partiti-like virus 9	29416	1923072	29416_1923072	viral	viral	RNA	virus	.	1	0	.	.
Hubei permutotetra-like virus 1	29417	1923073	29417_1923073	viral	viral	RNA	virus	.	1	0	.	.
Hubei permutotetra-like virus 10	29418	1923074	29418_1923074	viral	viral	RNA	virus	.	1	0	.	.
Hubei permutotetra-like virus 11	29419	1923075	29419_1923075	viral	viral	RNA	virus	.	1	0	.	.
Hubei permutotetra-like virus 2	29420	1923076	29420_1923076	viral	viral	RNA	virus	.	1	0	.	.
Hubei permutotetra-like virus 3	29421	1923077	29421_1923077	viral	viral	RNA	virus	.	1	0	.	.
Hubei permutotetra-like virus 4	29422	1923078	29422_1923078	viral	viral	RNA	virus	.	1	0	.	.
Hubei permutotetra-like virus 5	29423	1923079	29423_1923079	viral	viral	RNA	virus	.	1	0	.	.
Hubei permutotetra-like virus 6	29424	1923080	29424_1923080	viral	viral	RNA	virus	.	1	0	.	.
Hubei permutotetra-like virus 7	29425	1923081	29425_1923081	viral	viral	RNA	virus	.	1	0	.	.
Hubei permutotetra-like virus 8	29426	1923082	29426_1923082	viral	viral	RNA	virus	.	1	0	.	.
Hubei permutotetra-like virus 9	29427	1923083	29427_1923083	viral	viral	RNA	virus	.	1	0	.	.
Hubei picobirna-like virus 1	29428	1923084	29428_1923084	viral	viral	RNA	virus	.	1	0	.	.
Hubei picobirna-like virus 2	29429	1923085	29429_1923085	viral	viral	RNA	virus	.	1	0	.	.
Hubei picobirna-like virus 3	29430	1923086	29430_1923086	viral	viral	RNA	virus	.	1	0	.	.
Hubei picobirna-like virus 4	29431	1923087	29431_1923087	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 1	29432	1923088	29432_1923088	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 10	29433	1923089	29433_1923089	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 11	29434	1923090	29434_1923090	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 12	29435	1923091	29435_1923091	viral	viral	RNA	virus	.	2	0	.	.
Hubei picorna-like virus 13	29436	1923092	29436_1923092	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 14	29437	1923093	29437_1923093	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 15	29438	1923094	29438_1923094	viral	viral	RNA	virus	.	2	0	.	.
Hubei picorna-like virus 16	29439	1923095	29439_1923095	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 17	29440	1923096	29440_1923096	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 18	29441	1923097	29441_1923097	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 19	29442	1923098	29442_1923098	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 2	29443	1923099	29443_1923099	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 20	29444	1923100	29444_1923100	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 21	29445	1923101	29445_1923101	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 22	29446	1923102	29446_1923102	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 23	29447	1923103	29447_1923103	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 24	29448	1923104	29448_1923104	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 25	29449	1923105	29449_1923105	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 26	29450	1923106	29450_1923106	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 27	29451	1923107	29451_1923107	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 28	29452	1923108	29452_1923108	viral	viral	RNA	virus	.	1	0	.	.
