name	taxid
Acinetobacter lactucae	1785128
Acinetobacter larvae	1789224
Acinetobacter lwoffii	28090
Acinetobacter marinus	281375
Acinetobacter modestus	1776740
Acinetobacter movanagherensis	1397514
Acinetobacter nectaris	1219382
Acinetobacter nosocomialis	106654
Acinetobacter oleivorans	1148157
Acinetobacter oryzae	742719
Acinetobacter parvus	134533
Acinetobacter pittii	48296
Acinetobacter plantarum	1591090
Acinetobacter populi	1582270
Acinetobacter pragensis	1806892
Acinetobacter proteolyticus	1776741
Acinetobacter psychrotolerans	320323
Acinetobacter puyangensis	1096779
Acinetobacter qingfengensis	1262585
Acinetobacter radioresistens	40216
Acinetobacter refrigeratoris	1433544
Acinetobacter rhizosphaerae	243922
Acinetobacter rudis	421052
Acinetobacter schindleri	108981
Acinetobacter seifertii	1530123
Acinetobacter seohaensis	281376
Acinetobacter septicus	465797
Acinetobacter soli	487316
Acinetobacter tandoii	202954
Acinetobacter tjernbergiae	202955
Acinetobacter towneri	202956
Acinetobacter ursingii	108980
Acinetobacter variabilis	70346
Acinetobacter venetianus	52133
Acinetobacter vivianii	1776742
Acinetobacter xiamenensis	410731
Acrocarpospora corrugata	35763
Acrocarpospora macrocephala	150177
Acrocarpospora phusangensis	1070424
Acrocarpospora pleiomorpha	90975
Actibacterium atlanticum	1461693
Actibacterium mucosum	1087332
Actibacterium ureilyticum	1590614
Actimicrobium antarcticum	1051899
Actinoallomurus acaciae	502577
Actinoallomurus acanthiterrae	1136071
Actinoallomurus amamiensis	478109
Actinoallomurus bryophytorum	1490222
Actinoallomurus caesius	478115
Actinoallomurus coprocola	478106
Actinoallomurus fulvus	478108
Actinoallomurus iriomotensis	478107
Actinoallomurus liliacearum	1080073
Actinoallomurus luridus	478111
Actinoallomurus oryzae	502180
Actinoallomurus purpureus	478114
Actinoallomurus radicium	877472
Actinoallomurus spadix	79912
Actinoallomurus yoronensis	478110
Actinoalloteichus alkalophilus	238876
Actinoalloteichus cyanogriseus	65497
Actinoalloteichus hoggarensis	1470176
Actinoalloteichus hymeniacidonis	340345
Actinoalloteichus nanshanensis	681644
Actinoalloteichus spitiensis	1114962
Actinobacillus anseriformium	221404
Actinobacillus arthritidis	157339
Actinobacillus capsulatus	717
Actinobacillus delphinicola	51161
Actinobacillus equuli	202948
Actinobacillus equuli	718
Actinobacillus hominis	719
Actinobacillus indolicus	51049
Actinobacillus lignieresii	720
Actinobacillus minor	51047
Actinobacillus pleuropneumoniae	715
Actinobacillus porcinus	51048
Actinobacillus porcitonsillarum	189834
Actinobacillus salpingitidis	721
Actinobacillus scotiae	182182
Actinobacillus seminis	722
Actinobacillus succinogenes	67854
Actinobacillus suis	743972
Actinobacillus suis	716
Actinobacillus ureae	723
Actinobaculum massiliense	202789
Actinobaculum suis	1657
Actinocatenispora rupis	519421
Actinocatenispora sera	390989
Actinocatenispora thailandica	227318
Actinocorallia aurantiaca	46204
Actinocorallia aurea	65511
Actinocorallia cavernae	328075
Actinocorallia glomerata	46203
Actinocorallia herbida	58109
Actinocorallia lasiicapitis	1677853
Actinocorallia libanotica	46162
Actinocorallia longicatena	111803
Actinocrinis puniceicyclus	977794
Actinocrispum wychmicini	1213861
Actinokineospora acnipugnans	1813471
Actinokineospora auranticolor	155976
Actinokineospora baliensis	547056
Actinokineospora bangkokensis	1193682
Actinokineospora cianjurensis	585224
Actinokineospora cibodasensis	547057
Actinokineospora diospyrosa	103728
Actinokineospora enzanensis	155975
Actinokineospora fastidiosa	1816
Actinokineospora globicatena	103729
Actinokineospora guangxiensis	1490288
Actinokineospora inagensis	103730
Actinokineospora mzabensis	1470177
Actinokineospora riparia	39846
Actinokineospora soli	1048753
Actinokineospora spheciospongiae	909613
Actinokineospora terrae	155974
Actinomadura adrarensis	1819600
Actinomadura alba	406431
Actinomadura algeriensis	1679523
Actinomadura alkaliterrae	1735446
Actinomadura amylolytica	1411117
Actinomadura apis	755139
Actinomadura atramentaria	1990
Actinomadura bangladeshensis	453573
Actinomadura catellatispora	95160
Actinomadura cellulosilytica	1411118
Actinomadura chibensis	392828
Actinomadura chokoriensis	454156
Actinomadura citrea	46158
Actinomadura coerulea	46159
Actinomadura cremea	1991
Actinomadura darangshiensis	705336
Actinomadura echinospora	1992
Actinomadura fibrosa	111802
Actinomadura flavalba	561175
Actinomadura formosensis	60706
Actinomadura fulvescens	46160
Actinomadura gamaensis	1763541
Actinomadura geliboluensis	882440
Actinomadura glauciflava	96101
Actinomadura hallensis	337895
Actinomadura hibisca	68565
Actinomadura jiaoheensis	1544727
Actinomadura keratinilytica	547461
Actinomadura kijaniata	46161
Actinomadura latina	163603
Actinomadura livida	79909
Actinomadura luteofluorescens	46163
Actinomadura macra	46164
Actinomadura madurae	1993
Actinomadura maheshkhaliensis	454157
Actinomadura meridiana	559626
Actinomadura mexicana	134959
Actinomadura meyerae	240840
Actinomadura miaoliensis	430685
Actinomadura montaniterrae	1803903
Actinomadura namibiensis	182080
Actinomadura napierensis	267854
Actinomadura nitritigenes	134602
Actinomadura oligospora	111804
Actinomadura pelletieri	111805
Actinomadura rayongensis	1429076
Actinomadura rifamycini	31962
Actinomadura rifamycini	1120937
Actinomadura rubrobrunea	115335
Actinomadura rudentiformis	359158
Actinomadura rugatobispora	1994
Actinomadura rupiterrae	559627
Actinomadura scrupuli	559629
Actinomadura sediminis	1038904
Actinomadura sporangiiformans	1544728
Actinomadura sputi	1288827
Actinomadura syzygii	1427538
Actinomadura umbrina	111806
Actinomadura verrucosospora	46165
Actinomadura vinacea	115336
Actinomadura viridilutea	58112
Actinomadura viridis	58110
Actinomadura xylanilytica	887459
Actinomadura yumaensis	111807
Actinomyces bovis	1658
Actinomyces bowdenii	131109
Actinomyces canis	100469
Actinomyces cardiffensis	181487
Actinomyces catuli	119495
Actinomyces coleocanis	103618
Actinomyces dentalis	272548
Actinomyces denticolens	52767
Actinomyces europaeus	66228
Actinomyces funkei	132933
Actinomyces georgiae	52768
Actinomyces gerencseriae	52769
Actinomyces glycerinitolerans	1892869
Actinomyces graevenitzii	55565
Actinomyces haliotis	1280843
Actinomyces hominis	595468
Actinomyces hongkongensis	178339
Actinomyces hordeovulneris	52770
Actinomyces howellii	52771
Actinomyces hyovaginalis	29316
Actinomyces ihuae	1673722
Actinomyces israelii	1659
Actinomyces johnsonii	544581
Actinomyces lingnae	114702
Actinomyces liubingyangii	1921764
Actinomyces marimammalium	156892
Actinomyces massiliensis	461393
Actinomyces meyeri	52773
Actinomyces naeslundii	1655
Actinomyces nasicola	208480
Actinomyces naturae	635203
Actinomyces neuii	29318
Actinomyces neuii	144053
Actinomyces odontolyticus	1660
Actinomyces oricola	206043
Actinomyces oris	544580
Actinomyces polynesiensis	1325934
Actinomyces provencensis	1720198
