,Accession,total_reads,t7_reads,t7_normalized_reads,ecoli_reads,ecoli_normalized_reads,ecoli_coverage,kpneumo_reads,kpneumo_normalized_reads,kpneumo_coverage,calbicans_reads,calbicans_normalized_reads,calbicans_coverage,saureus_reads,saureus_normalized_reads,saureus_coverage,sagal_reads,sagal_normalized_reads,sagal_coverage,sepiderm_reads,sepiderm_normalized_reads,sepiderm_coverage,efaecalis_reads,efaecalis_normalized_reads,efaecalis_coverage,Human,Bacteria,Virus,Parasite,Fungus,Unclassified,DNAse,Pool,Pool replicate,Organism spike
0,IDBD-D101193,3951143,5186,13125.315889604602,89942,227635.39563108698,0.959417,7676,19427.28977412359,0.887048,0,0.0,0,85,215.12762256390113,0.356335,0,0.0,0.0,11387,28819.508683942848,0.0,164,415.0697658879975,0.113605,510581.36847995635,8888296.373985957,13224.021504663335,3345.867259170321,15511.967043460589,569040.4017267915,Thermo Dnase I,Pool 1,Pool 1a,E.coli
1,IDBD-D101194,2868624,4167,14526.128206415342,64771,225791.18071939718,0.914126,6002,20922.923324911182,0.8777530000000001,0,0.0,0,65,226.58947286225037,0.284571,0,0.0,0.0,8234,28703.657223811835,0.0,86,299.7953025562081,0.169176,504572.9241615493,8944131.402372705,15178.008689880584,2499.4561852651304,16171.516378584296,517446.6922120152,Thermo Dnase I,Pool 1,Pool 1b,E.coli
2,IDBD-D101195,542,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6678966.789667898,2269372.6937269373,0.0,55350.553505535056,0.0,996309.9630996309,Thermo Dnase I,Pool 5,Pool 5a,E.coli
3,IDBD-D101196,2729049,6087,22304.473096672133,4966,18196.81508100441,0.606726,100,366.42801210238434,0.0,0,0.0,0,679,2488.04620217519,0.0,370,1355.7836447788222,0.995188,679,2488.04620217519,0.0,113,414.06365367569435,0.0,5579595.676002886,3522036.4310058192,24499.376889165414,25422.775479663433,1377.7693255049653,847067.971296961,Thermo Dnase I,Pool 5,Pool 5b,E.coli
4,IDBD-D101197,2917044,44521,152623.68342746972,1942,6657.424433776109,0.0,64339,220562.32268008302,0.999798,0,0.0,0,0,0.0,0.0,13521,46351.717697778986,0.0,0,0.0,0.0,918,3147.021436769552,0.697235,707517.6102931598,8855797.170011833,147210.66943110904,4898.794807346067,349.6690485299502,284226.0864080213,Thermo Dnase I,Pool 6,Pool 6a,K.pneumo
5,IDBD-D101198,3397855,49794,146545.39407950017,2271,6683.62834788418,0.0,75574,222416.78941567548,1.0,0,0.0,0,0,0.0,0.0,5,14.715165891422675,0.0,0,0.0,0.0,1238,3643.4750747162548,0.833835,844170.8077596013,8728321.24972961,141715.87663393526,5409.294981686976,309.0184837198762,280073.7524114478,Thermo Dnase I,Pool 6,Pool 6b,K.pneumo
6,IDBD-D101199,971445,6310,64954.783852920125,0,0.0,0.0,0,0.0,0.0,0,0.0,0,658,6773.414861366316,0.9445209999999999,41,422.05168589060634,0.520212,223,2295.5494135025656,0.735302,785,8080.745693271364,0.6860109999999999,1122636.8965818959,8218036.018508512,69587.0584541585,16830.597717832712,648.5184441733708,572260.9102934288,Thermo Dnase I,Pool 7,Pool 7a,Staepi / Streptoc / Staaur / Strep B
7,IDBD-D101201,7,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1428571.4285714286,7142857.142857143,0.0,0.0,0.0,1428571.4285714286,Thermo Dnase I,Pool 8,Pool 8a,E.faecalis
8,IDBD-D101202,371214,915,24648.85483844898,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,15152,408174.2606690481,0.9989049999999999,800939.6197341696,8833799.371790934,23436.616075902308,8539.548616162107,107.75455667081522,333177.08922616066,Thermo Dnase I,Pool 8,Pool 8b,E.faecalis
9,IDBD-D101203,3409028,4508,13223.7106882079,76754,225149.22142029926,0.9713,7338,21525.19721163921,0.919984,0,0.0,0,85,249.3379344493504,0.46121999999999996,0,0.0,0.0,9156,26858.0956213912,0.0,83,243.4711595211304,0.0,566020.5782997382,8865362.795494786,13543.449921795891,3285.393959803205,15420.817898826292,536366.9644250502,Turbo Dnase,Pool 1,Pool 1a,E.coli
10,IDBD-D101204,3654830,4631,12670.90398185415,85056,232722.1785965421,0.9511209999999999,6727,18405.780843431843,0.8858360000000001,0,0.0,0,85,232.56895669566026,0.45183500000000004,0,0.0,0.0,9329,25525.127023691934,0.0,115,314.6521178823639,0.0,559418.6323303683,8793678.502146475,12846.014725719117,4966.031251795569,14279.73394111354,614811.0856045288,Turbo Dnase,Pool 1,Pool 1b,E.coli
11,IDBD-D101205,3013731,7874,26127.08300774024,6551,21737.175613881933,0.794395,112,371.6323719668411,0.0,0,0.0,0,897,2976.377121913004,0.0,444,1473.256903154263,0.995188,897,2976.377121913004,0.0,214,710.0832821509285,0.0,5403070.147932911,3610833.21636868,28154.47032266649,27570.476595290023,842.8091292819432,929528.87965117,Turbo Dnase,Pool 5,Pool 5a,E.coli
12,IDBD-D101206,3146837,6972,22155.580349411168,6220,19765.87919870016,0.7941699999999999,88,279.6458793385231,0.0,0,0.0,0,754,2396.0567388778,0.0,434,1379.1626321922613,0.971607,754,2396.0567388778,0.0,112,355.9129373399385,0.0,5617450.15709425,3487247.6712330515,24297.413561617584,27373.518234341343,1045.4942534360694,842585.7456233037,Turbo Dnase,Pool 5,Pool 5b,E.coli
13,IDBD-D101207,2946227,59693,202608.28510498343,2102,7134.548695670768,0.0,57411,194862.78552195738,1.0,0,0.0,0,0,0.0,0.0,20,67.88343192836125,0.444658,0,0.0,0.0,1386,4704.321832635435,0.635368,604814.2251089275,8866112.488956215,195908.19037365413,3910.085679073608,410.69476316658563,328844.315118964,Turbo Dnase,Pool 6,Pool 6a,K.pneumo
14,IDBD-D101208,3010061,57398,190687.16547604848,2078,6903.514579937084,0.0,59300,197005.97429753086,0.999798,0,0.0,0,0,0.0,0.0,6,19.933150856411213,0.24735300000000002,0,0.0,0.0,1216,4039.7852402326725,0.609362,639379.0690620557,8860441.698689828,186823.45640171407,4750.734287444673,355.474523606,308249.5670353525,Turbo Dnase,Pool 6,Pool 6b,K.pneumo
15,IDBD-D101209,3546514,58720,165571.0367983885,0,0.0,0.0,0,0.0,0.0,0,0.0,0,2761,7785.1095470086975,0.9986200000000001,225,634.4258051709369,0.9932629999999999,1079,3042.424194575293,0.979851,3436,9688.386962521508,0.985218,1463070.4968315363,8019562.308227178,164823.8241834094,11780.582284462995,406.0325153093996,340356.7559581042,Turbo Dnase,Pool 7,Pool 7a,Staepi / Streptoc / Staaur / Strep B
16,IDBD-D101210,3285271,51232,155944.51721030017,0,0.0,0.0,0,0.0,0.0,0,0.0,0,2446,7445.352301225684,0.9986200000000001,150,456.5833381781899,0.9571700000000001,849,2584.2616940885546,0.993376,3551,10808.849559138349,0.984123,1561280.637122478,7949332.03379569,167626.96288981946,11667.226234913345,401.7933375968071,309691.34661950264,Turbo Dnase,Pool 7,Pool 7b,Staepi / Streptoc / Staaur / Strep B
17,IDBD-D101211,3601386,5759,15991.065661942375,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,129361,359197.81995043025,0.999726,488184.2712777803,9254892.421973096,16163.221604126855,3309.8368239338965,305.43796194020865,237144.81035912284,Turbo Dnase,Pool 8,Pool 8a,E.faecalis
18,IDBD-D101212,4174232,8215,19680.266932935207,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,161288,386389.64005833893,0.999726,465529.9465865817,9254260.424432566,19553.29746885176,4384.039986277715,309.03888427859306,255963.25264144398,Turbo Dnase,Pool 8,Pool 8b,E.faecalis
19,IDBD-D101213,3155831,3556,11268.030512407031,67854,215011.51360766785,0.9847530000000001,5252,16642.20929447743,0.851081,0,0.0,0,41,129.9182370665603,0.33839400000000003,0,0.0,0.0,8104,25679.44861432694,0.0,104,329.5486989005432,0.0,686947.4315956717,8557495.632687556,11622.929111223002,146528.75898614342,15682.081835180654,581723.165784226,Cyanase,Pool 1,Pool 1a,E.coli
20,IDBD-D101214,3147761,3568,11335.04100215995,70971,225465.021010172,0.966143,5157,16383.073556092728,0.8110729999999999,0,0.0,0,49,155.666202103654,0.44521099999999997,0,0.0,0.0,6967,22133.192450125658,0.0,75,238.26459505661325,0.0,563130.4282631369,8673774.787857147,11436.700562717437,134279.57205137238,14168.801252699937,603209.7100129266,Cyanase,Pool 1,Pool 1b,E.coli
21,IDBD-D101215,4116094,6764,16433.05522177093,5218,12677.067141809684,0.667265,99,240.5192884321884,0.0,0,0.0,0,919,2232.6992532240515,0.0,359,872.1861065369255,0.968239,919,2232.6992532240515,0.0,216,524.7693565793202,0.0,6218378.3946625125,2520685.8735490493,17621.074737360224,237419.26204795128,782.2950593450977,1005113.0999437815,Cyanase,Pool 5,Pool 5a,E.coli
22,IDBD-D101216,463008,598,12915.543575920936,400,8639.159582555809,0.0795964,0,0.0,0.0,0,0.0,0,0,0.0,0.0,14,302.3705853894533,0.0,0,0.0,0.0,0,0.0,0.0,6559281.913055497,2111216.220886032,13909.046927914851,202415.50901928265,820.7201603428018,1112356.5899509296,Cyanase,Pool 5,Pool 5b,E.coli
23,IDBD-D101217,3455592,36172,104676.70951894783,1740,5035.316669329018,0.0,47846,138459.63296592885,0.999798,0,0.0,0,0,0.0,0.0,4,11.575440619147168,0.273821,0,0.0,0.0,1473,4262.656008000945,0.807829,425070.4365561675,7454575.077150311,102274.8055904748,1416903.3844273281,778.4483816376469,600397.8478940801,Cyanase,Pool 6,Pool 6a,K.pneumo
24,IDBD-D101218,2887585,28803,99747.71305433434,1431,4955.698273817048,0.0,37529,129966.73690990914,0.9995959999999999,0,0.0,0,0,0.0,0.0,4,13.852406076357925,0.274302,0,0.0,0.0,866,2999.045915531491,0.545305,391811.84276826476,7460653.106315485,97683.70454895699,1422178.048438401,789.5871463524018,626883.7107825397,Cyanase,Pool 6,Pool 6b,K.pneumo
25,IDBD-D101219,556069,2696,48483.19183410692,0,0.0,0.0,0,0.0,0.0,0,0.0,0,177,3183.0582175952986,0.6809270000000001,14,251.76731664595584,0.31232,51,917.1523677816963,0.335633,214,3848.4432687310386,0.0,467316.1064544149,7304381.290811032,48357.30817578394,1280776.306537498,1348.753482031906,897820.2345392389,Cyanase,Pool 7,Pool 7a,Staepi / Streptoc / Staaur / Strep B
26,IDBD-D101220,71655,221,30842.23013048636,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,8,1116.460819203126,0.0,359779.49898820743,7747261.182052893,29307.09650408206,892610.4249528993,558.230409601563,970483.5670923174,Cyanase,Pool 7,Pool 7b,Staepi / Streptoc / Staaur / Strep B
