Accession,total_reads,t7_reads,t7_normalized_reads,ecoli_reads,ecoli_normalized_reads,ecoli_coverage,kpneumo_reads,kpneumo_normalized_reads,kpneumo_coverage,calbicans_reads,calbicans_normalized_reads,calbicans_coverage,saureus_reads,saureus_normalized_reads,saureus_coverage,sagal_reads,sagal_normalized_reads,sagal_coverage,sepiderm_reads,sepiderm_normalized_reads,sepiderm_coverage,efaecalis_reads,efaecalis_normalized_reads,efaecalis_coverage,Human,Bacteria,Virus,Parasite,Fungus,Unclassified
IDBD-D101193,3951143,5186,13125.315889604602,89942,227635.395631087,0.959417,7676,19427.28977412359,0.887048,0,0.0,0,85,215.12762256390113,0.356335,0,0.0,0.0,11387,28819.508683942848,0.0,164,415.06976588799745,0.113605,510581.3684799563,8888296.373985957,13224.021504663335,3345.867259170321,15511.967043460589,569040.4017267915
IDBD-D101194,2868624,4167,14526.12820641534,64771,225791.18071939718,0.914126,6002,20922.92332491118,0.877753,0,0.0,0,65,226.58947286225035,0.284571,0,0.0,0.0,8234,28703.657223811835,0.0,86,299.7953025562081,0.169176,504572.92416154925,8944131.402372705,15178.008689880584,2499.4561852651304,16171.516378584296,517446.6922120152
IDBD-D101195,542,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6678966.789667897,2269372.6937269373,0.0,55350.553505535056,0.0,996309.963099631
IDBD-D101196,2729049,6087,22304.473096672136,4966,18196.81508100441,0.606726,100,366.4280121023844,0.0,0,0.0,0,679,2488.04620217519,0.0,370,1355.7836447788222,0.995188,679,2488.04620217519,0.0,113,414.06365367569435,0.0,5579595.676002886,3522036.4310058192,24499.376889165418,25422.77547966343,1377.7693255049653,847067.971296961
IDBD-D101197,2917044,44521,152623.68342746972,1942,6657.42443377611,0.0,64339,220562.322680083,0.999798,0,0.0,0,0,0.0,0.0,13521,46351.717697778986,0.0,0,0.0,0.0,918,3147.0214367695517,0.697235,707517.6102931598,8855797.170011833,147210.66943110904,4898.794807346067,349.6690485299502,284226.0864080213
IDBD-D101198,3397855,49794,146545.39407950017,2271,6683.62834788418,0.0,75574,222416.78941567548,1.0,0,0.0,0,0,0.0,0.0,5,14.715165891422677,0.0,0,0.0,0.0,1238,3643.4750747162548,0.833835,844170.8077596013,8728321.24972961,141715.87663393523,5409.294981686976,309.0184837198762,280073.7524114478
IDBD-D101199,971445,6310,64954.78385292013,0,0.0,0.0,0,0.0,0.0,0,0.0,0,658,6773.414861366316,0.944521,41,422.0516858906063,0.520212,223,2295.5494135025656,0.735302,785,8080.745693271364,0.686011,1122636.896581896,8218036.018508511,69587.0584541585,16830.597717832712,648.5184441733707,572260.9102934288
IDBD-D101201,7,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1428571.4285714286,7142857.142857143,0.0,0.0,0.0,1428571.4285714286
IDBD-D101202,371214,915,24648.85483844898,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,15152,408174.26066904806,0.998905,800939.6197341696,8833799.371790934,23436.61607590231,8539.548616162107,107.75455667081522,333177.08922616066
IDBD-D101203,3409028,4508,13223.7106882079,76754,225149.22142029926,0.9713,7338,21525.197211639213,0.919984,0,0.0,0,85,249.33793444935037,0.46122,0,0.0,0.0,9156,26858.0956213912,0.0,83,243.47115952113037,0.0,566020.5782997382,8865362.795494786,13543.449921795891,3285.393959803205,15420.817898826293,536366.9644250502
IDBD-D101204,3654830,4631,12670.90398185415,85056,232722.1785965421,0.951121,6727,18405.780843431843,0.885836,0,0.0,0,85,232.56895669566026,0.451835,0,0.0,0.0,9329,25525.127023691937,0.0,115,314.6521178823639,0.0,559418.6323303683,8793678.502146475,12846.014725719117,4966.031251795569,14279.73394111354,614811.0856045288
IDBD-D101205,3013731,7874,26127.08300774024,6551,21737.17561388193,0.794395,112,371.6323719668411,0.0,0,0.0,0,897,2976.377121913004,0.0,444,1473.256903154263,0.995188,897,2976.377121913004,0.0,214,710.0832821509285,0.0,5403070.147932911,3610833.2163686804,28154.47032266649,27570.476595290023,842.8091292819432,929528.8796511699
IDBD-D101206,3146837,6972,22155.58034941117,6220,19765.879198700157,0.79417,88,279.6458793385231,0.0,0,0.0,0,754,2396.0567388778,0.0,434,1379.1626321922615,0.971607,754,2396.0567388778,0.0,112,355.9129373399385,0.0,5617450.15709425,3487247.671233051,24297.413561617584,27373.51823434134,1045.4942534360694,842585.7456233037
IDBD-D101207,2946227,59693,202608.28510498343,2102,7134.548695670768,0.0,57411,194862.7855219574,1.0,0,0.0,0,0,0.0,0.0,20,67.88343192836126,0.444658,0,0.0,0.0,1386,4704.321832635435,0.635368,604814.2251089275,8866112.488956215,195908.19037365416,3910.0856790736084,410.69476316658563,328844.315118964
IDBD-D101208,3010061,57398,190687.16547604848,2078,6903.514579937084,0.0,59300,197005.97429753086,0.999798,0,0.0,0,0,0.0,0.0,6,19.933150856411217,0.247353,0,0.0,0.0,1216,4039.785240232673,0.609362,639379.0690620556,8860441.698689828,186823.45640171412,4750.734287444673,355.474523606,308249.56703535246
IDBD-D101209,3546514,58720,165571.0367983885,0,0.0,0.0,0,0.0,0.0,0,0.0,0,2761,7785.109547008697,0.99862,225,634.4258051709369,0.993263,1079,3042.424194575293,0.979851,3436,9688.386962521507,0.985218,1463070.4968315365,8019562.308227178,164823.8241834094,11780.582284462997,406.03251530939957,340356.7559581042
IDBD-D101210,3285271,51232,155944.51721030017,0,0.0,0.0,0,0.0,0.0,0,0.0,0,2446,7445.352301225683,0.99862,150,456.5833381781899,0.95717,849,2584.2616940885546,0.993376,3551,10808.849559138349,0.984123,1561280.6371224779,7949332.03379569,167626.96288981944,11667.226234913345,401.7933375968071,309691.34661950264
IDBD-D101211,3601386,5759,15991.065661942375,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,129361,359197.8199504302,0.999726,488184.2712777803,9254892.421973096,16163.221604126855,3309.8368239338965,305.4379619402086,237144.81035912284
