Accession,total_reads,t7_reads,t7_normalized_reads,ecoli_reads,ecoli_normalized_reads,ecoli_coverage,kpneumo_reads,kpneumo_normalized_reads,kpneumo_coverage,calbicans_reads,calbicans_normalized_reads,calbicans_coverage,saureus_reads,saureus_normalized_reads,saureus_coverage,Human,Bacteria,Virus,Parasite,Fungus,Unclassified
IDBD-D101079,5110269,4792,9377.197169072704,121361,237484.56294570793,0.999776,903,1767.0302678782664,0.0,17678,34593.090892084154,0.0,1016,1988.1536568818588,0.911951,1060789.5592188982,7865004.758066552,9116.936897059626,5535.9121016917115,35254.504214944456,1024298.329500854
IDBD-D101080,5093381,4267,8377.53939868233,118790,233224.25712900722,1.0,967,1898.5424416512333,0.0,16037,31485.961878759903,0.0,1135,2228.3822867364524,0.92796,1081489.8787269203,7864887.782791038,8071.259542531769,6131.487120244882,32102.448255883468,1007317.1435633816
IDBD-D101081,5533288,2953,5336.790711056428,164,296.3879704074684,0.0,136861,247341.18303619837,1.0,9571,17297.129663230975,0.0,803,1451.216708763397,0.935413,2718830.1060779775,6985660.243963445,5739.806061061705,15343.49919975248,80603.07000105543,193823.27469670837
IDBD-D101082,5159401,2796,5419.233744382342,6767,13115.863643860983,0.0,132269,256365.0315220701,1.0,9462,18339.33822937973,0.0,855,1657.169117112626,0.933481,2421874.167175608,7281855.0060365535,5814.628481096934,14387.329071727512,87769.87871266452,188298.9905223494
IDBD-D101083,4886599,4602,9417.5928902699,115285,235920.72932524237,0.999776,821,1680.1051201459338,0.0,20064,41059.23158417542,0.000254412,1404,2873.163932624715,0.96053,1246384.2439291622,7652236.248564697,9143.373540574948,7115.3782006667625,41957.606916385,1043163.1488485141
IDBD-D101084,5168739,4868,9418.157891121993,117513,227353.32544359466,0.998879,858,1659.9793489282395,0.0,19787,38282.06454224135,0.0,1349,2609.9209110771503,0.938725,1259494.8206903075,7638379.496430367,9176.319407886527,6972.68714864496,39092.70713804663,1046883.969184747
IDBD-D101085,4689761,1887,4023.6592013964037,5192,11070.926642103937,0.0,97738,208407.20881085412,1.0,7514,16022.138441596491,0.0,632,1347.6166482684298,0.901463,3699403.8715405753,5988533.317582709,4723.055183409133,24909.58494473386,74082.66647276908,208347.50427580424
IDBD-D101086,5273996,2271,4306.032844924418,5834,11061.821055609447,0.0,110474,209469.25253640692,1.0,8647,16395.537653043346,0.0,670,1270.3839745043417,0.918024,3672723.6804881915,6018281.015002666,5056.886656721013,23412.987040566582,74046.32085424411,206479.1099576109
IDBD-D101087,4738467,9570,20196.40529310429,123778,261219.50411388325,0.998879,886,1869.8030396750678,0.0,0,0.0,0.0,1247,2631.6528109196497,0.983991,98054.919449687,8767791.355305418,19449.328232105447,580.3564739397784,8500.639552834282,1105623.400986015
IDBD-D101088,4847878,8788,18127.518885582518,124834,257502.35463846245,0.998879,936,1930.7416564525759,0.0,0,0.0,0.0,1240,2557.820143163669,0.965222,93874.06201228661,8761850.030054387,17325.105953573915,546.6309176922357,7801.35143664919,1118602.8196254114
