Accession,total_reads,t7_reads,t7_normalized_reads,ecoli_reads,ecoli_normalized_reads,ecoli_coverage,kpneumo_reads,kpneumo_normalized_reads,kpneumo_coverage,calbicans_reads,calbicans_normalized_reads,calbicans_coverage,saureus_reads,saureus_normalized_reads,saureus_coverage,Human,Bacteria,Virus,Parasite,Fungus,Unclassified
IDBD-D101089,5199397,6798,13074.593073004427,9135,17569.34506059068,0.0,162962,313424.8067612456,1.0,0,0.0,0.0,901,1732.8932566603396,0.986475,274866.4893255891,9581664.950762559,12813.024279546264,1602.1088599312575,11716.74330696425,117336.68346540954
IDBD-D101090,5341222,6942,12997.02577425166,9481,17750.619614762316,0.0,162886,304960.1757799994,1.0,0,0.0,0.0,865,1619.4795872555007,0.938449,201605.55019057437,9656001.941128828,12766.741393636137,1201.9721329688225,12178.860942308707,116244.93421168414
IDBD-D101091,4434139,10574,23846.794157783508,119273,268987.95910547685,1.0,869,1959.7942238617238,0.0,0,0.0,0.0,1838,4145.1113733692155,0.987579,141096.1632010183,8620810.037754793,22816.154387582348,1046.4263749963634,13335.17059343426,1200896.0476881757
IDBD-D101092,4406582,10363,23517.09329362304,121440,275587.74578573595,0.984081,884,2006.0899808513718,0.0,0,0.0,0.0,1708,3876.0200082512933,0.99172,147127.63770196494,8611118.549478939,22593.474942710698,1003.0449904256859,10938.182927266529,1207219.1099586936
IDBD-D101093,5907569,7366,12468.749836015457,10452,17692.556786048543,0.0,159773,270454.73357992095,1.0,0,0.0,0.0,920,1557.3241717532203,0.918024,382908.773473488,9464065.506471444,12483.984529,2136.2425051658306,12497.526478319593,125907.96654258292
IDBD-D101094,4182930,5308,12689.66968129995,7490,17906.10887583584,0.0,154968,370477.1535741693,1.0,0,0.0,0.0,837,2000.9897368590916,0.934585,346152.0991266887,9504670.171387043,12852.235155740114,1946.0043557984475,10870.37076881516,123509.11920591547
IDBD-D101095,5290107,6320,11946.828296667723,121596,229855.46417114057,0.999552,977,1846.8435515576527,0.0,8402,15882.47647920921,0.000254412,1104,2086.9143100508177,0.95915,480788.0067454212,8418289.081865452,11536.628654203025,2585.9590363673174,16234.076172750381,1070566.247525806
IDBD-D101096,4471221,5606,12537.96222553079,123937,277188.2669185889,0.999552,839,1876.4449352872516,0.0,0,0.0,0.0,1100,2460.178103475538,0.976815,402601.437057126,8485147.569310486,12097.366692453807,2160.4836799612453,12587.1657876003,1085405.9774723728
IDBD-D101097,5714860,5091,8908.35471035161,9645,16877.053856087463,0.0,156501,273849.22815257066,1.0,0,0.0,0.0,860,1504.8487626993488,0.943969,648150.6108636082,9179008.759619659,8920.603479350326,3546.8935371995112,28119.673972765737,132253.458527418
IDBD-D101098,4647494,4366,9394.31013789367,7820,16826.27239540277,0.0,156304,336318.8849732781,1.0,0,0.0,0.0,846,1820.335862725159,0.895667,637810.3984642046,9189029.614669755,9441.647477113473,3401.833332114038,28636.938530743664,131679.5675260689
IDBD-D101099,5216420,7509,14394.929856108212,118281,226747.4628193282,0.998206,1034,1982.2023533381132,0.0,10019,19206.65897301214,0.0,1495,2865.950211064293,0.976263,585713.9570816767,8263487.219203975,13934.844203495884,3490.8998891960387,19639.90629588875,1113733.1733257675
IDBD-D101100,4980466,8023,16108.93438485475,119810,240559.81910126482,0.999552,900,1807.0598213098936,0.0,7613,15285.7182440358,0.0,1538,3088.064450194018,0.965774,469433.98469139234,8337221.858356226,15582.879192428982,2521.8523728502514,15679.255716232175,1159560.16967087
IDBD-D101101,4972472,4391,8830.61784963294,8018,16124.776569883148,0.0,150486,302638.2049009024,1.0,0,0.0,0.0,903,1815.9981594667602,0.926856,1170721.5244248735,8632482.998395968,9411.817703548657,6194.102249343989,32710.08866414934,148479.4685621156
IDBD-D101102,5214877,5067,9716.432429758172,8955,17172.025342112574,0.0,154405,296085.6027860293,1.0,0,0.0,0.0,871,1670.221560355115,0.939001,626394.4480377965,9203160.496402888,10270.61616218369,3394.135662260107,21860.534773878655,134919.7689609937
